x	y
8.3977332445	3.9771636369
2.0274782925	3.3678089337
5.6903479838	2.0092360771
3.9728906319	5.6722251517
1.7897884324	4.9759253715
3.1926622885	0.7081642369
5.616003661	    9.4424274768
4.2705087809	1.7881584331
8.8065858542	8.7220300734
4.9763110646	8.6010069266
8.1948569345	2.1774248424
3.0508553473	7.1791295414
1.9866031695	4.8015953375
2.3634188799	1.0269270609
7.8292697693	1.3534211634
5.6971813638	9.3364866891
6.3939328839	2.818352852
1.9281512365	3.1403757323
0.2175681341	0.9195343065
2.8205208357	2.8637775848
8.2185869631	8.79999047
6.5756096885	8.8443755657
5.4919226749	0.3905037612
3.0784735338	2.4593943119
4.2149933091	1.5359639091
1.2566623945	1.5406808104
0.8567246101	8.4914084891
1.8561004715	0.3169243244
0.2770204941	5.0901961981

